Path;Travel weight;Elapsed time;Best solution;Deviation;Algorithm
4 3 2 1 4 ;15;0,0001979;15;-1600;TspBabDfs
4 3 2 1 4 ;15;0,0002096;15;-1600;TspBabBfs
4 3 2 1 4 ;15;0,0002047;15;-1600;TspBabBestFs
1 2 4 3 1 ;13;0,0001601;13;-1400;DfsBruteForce
3 1 2 4 3 ;13;3,93e-05;13;-1400;TspNN
3 1 2 4 3 ;13;30;13;-1400;TspRand
4 3 1 2 4 ;13;0,0001801;13;-1400;TspBabDfs
4 3 1 2 4 ;13;0,0001879;13;-1400;TspBabBfs
4 3 1 2 4 ;13;0,0001839;13;-1400;TspBabBestFs
1 4 3 2 1 ;18;0,0001665;18;-1900;DfsBruteForce
2 1 4 3 2 ;18;3,06e-05;18;-1900;TspNN
3 2 1 4 3 ;18;30;18;-1900;TspRand
4 3 2 1 4 ;18;0,0001811;18;-1900;TspBabDfs
4 3 2 1 4 ;18;0,0001509;18;-1900;TspBabBfs
4 3 2 1 4 ;18;0,0001784;18;-1900;TspBabBestFs
1 4 3 2 1 ;20;0,0001559;20;-2100;DfsBruteForce
3 2 1 4 3 ;20;4,42e-05;20;-2100;TspNN
2 1 4 3 2 ;20;30;20;-2100;TspRand
4 3 2 1 4 ;20;0,0002523;20;-2100;TspBabDfs
4 3 2 1 4 ;20;0,0002685;20;-2100;TspBabBfs
4 3 2 1 4 ;20;0,0003547;20;-2100;TspBabBestFs
1 3 2 4 5 1 ;19;0,0008579;19;-2000;DfsBruteForce
1 3 2 5 4 1 ;20;6,73e-05;20;-2100;TspNN
4 5 1 3 2 4 ;19;30;19;-2000;TspRand
5 1 3 2 4 5 ;19;0,0004956;19;-2000;TspBabDfs
5 1 3 2 4 5 ;19;0,0005379;19;-2000;TspBabBfs
5 1 3 2 4 5 ;19;0,0006578;19;-2000;TspBabBestFs
1 4 2 5 3 1 ;43;0,0010573;43;-4400;DfsBruteForce
1 4 5 3 2 1 ;46;6,23e-05;46;-4700;TspNN
3 1 4 2 5 3 ;43;30;43;-4400;TspRand
5 3 1 4 2 5 ;43;0,0010021;43;-4400;TspBabDfs
5 3 1 4 2 5 ;43;0,000881;43;-4400;TspBabBfs
5 3 1 4 2 5 ;43;0,0010989;43;-4400;TspBabBestFs
1 5 4 2 3 1 ;35;0,0010358;35;-3600;DfsBruteForce
2 3 1 5 4 2 ;35;5,31e-05;35;-3600;TspNN
2 3 1 5 4 2 ;35;30;35;-3600;TspRand
5 4 2 3 1 5 ;35;0,0008763;35;-3600;TspBabDfs
5 4 2 3 1 5 ;35;0,0008387;35;-3600;TspBabBfs
5 4 2 3 1 5 ;35;0,0010869;35;-3600;TspBabBestFs
1 3 2 5 4 1 ;32;0,0010007;32;-3300;DfsBruteForce
2 5 4 1 3 2 ;32;6,9e-05;32;-3300;TspNN
4 1 3 2 5 4 ;32;30;32;-3300;TspRand
5 4 1 3 2 5 ;32;0,0009839;32;-3300;TspBabDfs
5 4 1 3 2 5 ;32;0,0010939;32;-3300;TspBabBfs
5 4 1 3 2 5 ;32;0,0012675;32;-3300;TspBabBestFs
1 4 5 3 2 1 ;29;0,0010122;29;-3000;DfsBruteForce
1 4 5 3 2 1 ;29;4,8e-05;29;-3000;TspNN
3 2 1 4 5 3 ;29;30;29;-3000;TspRand
5 3 2 1 4 5 ;29;0,0004984;29;-3000;TspBabDfs
